number,value,params_drop_f,params_lr,params_n_filter_0,params_n_filter_1,params_n_filter_2,params_n_filter_3,params_n_linear_0,params_n_linear_1,params_n_linear_2,params_nb_num,params_optimizer,params_size_pooling
4,89.60638269277719,0.3484731752499901,0.002251355055480722,39,99,9,74,12,146,225,77,Adam,6
14,91.44711611821101,0.2505572867639207,0.0029620947813225975,64,104,29,84,105,272,98,3,Adam,5
15,92.05338997474084,0.22861134374093536,0.002725084453266045,64,99,34,44,95,145,103,39,Adam,5
2,93.7250983605018,0.3248905274220185,0.0013389946522392498,99,69,9,74,283,265,125,12,Adam,8
0,94.00272178649902,0.4508140638927948,0.009046160513908968,79,124,74,124,286,85,27,54,Adam,9
19,97.75085619412936,0.2648982224693593,0.0030755050717709708,14,89,19,39,115,115,62,99,Adam,7
17,97.9941650390625,0.26254804568657353,0.021238916869191046,74,4,54,74,106,231,188,19,Adam,6
13,111.63711049006535,0.3761308788202961,0.0007059281409074667,54,104,4,89,290,152,144,27,Adam,6
11,126.05256183330829,0.3689350130352645,5.830420494030908e-05,104,24,104,14,142,235,299,61,Adam,9
5,128.33122969407302,0.42752845051945043,4.7983362992140975e-05,114,74,124,114,181,49,149,88,Adam,4
3,135.20850254939154,0.3004364181338706,4.515439456147234e-05,39,59,39,94,145,91,219,64,RMSprop,2
12,135.60427656907302,0.20892115621371327,0.0004899687223398719,4,119,44,34,73,300,84,35,RMSprop,12
8,150.70622969407302,0.3095085517915189,3.9757608810218865e-05,24,79,9,64,16,105,240,5,RMSprop,8
10,163.3126420241136,0.4566108628131661,0.038590000157523445,89,79,94,59,246,14,192,73,Adam,10
16,164.01054182786208,0.25855406229321165,0.0002371774417778584,39,99,29,89,5,154,66,73,SGD,3
6,164.4844663179838,0.48174325533076334,0.006967883425163291,109,79,94,119,60,207,21,92,SGD,9
18,168.05987830528846,0.39265689373989265,0.09281357332258051,44,109,24,104,41,300,183,45,Adam,5
9,627.7626887394832,0.30862962642428005,2.0251621725575516e-05,94,44,104,124,194,182,277,86,SGD,9
